shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason,delivery_performance_score
150,628,543,5,3,5,1276,DB Schenker,In Transit,7698.03,289.08,DB7074199997,,28.75
151,11,25,14,4,12,859,UPS,Delayed,5362.08,53.1,UPS6975308103,,28.87
152,557,586,6,9,12,346,UPS,Delayed,10057.56,238.52,UPS4663728807,,20.26
153,404,532,17,2,10,4408,UPS,In Transit,8975.11,158865.0,UPS7347443533,,27.31
154,266,278,16,12,16,4080,UPS,Delayed,4479.44,96300.0,UPS9743889144,,39.64
155,11,35,5,6,11,3903,UPS,Delayed,3016.91,810.7,UPS3558956649,,42.84
156,133,138,17,11,12,2937,FedEx,Delayed,4156.79,97055.0,FED2766126297,,38.05
157,592,193,18,11,3,1417,Maersk,In Transit,7018.89,65655.0,MAE1482985367,,32.97
158,157,174,11,6,1,3948,FedEx,Delayed,8710.25,112406.32,FED4837538619,,41.39
159,683,712,17,16,3,427,DB Schenker,Delivered,10186.28,14070.0,DB6465036099,,38.02
160,538,564,2,2,11,3411,DB Schenker,Delayed,5808.17,632.34,DB2664995241,,26.55
161,465,496,11,5,7,2410,DB Schenker,Delayed,5740.31,74857.12,DB1481146233,,21.91
162,290,302,17,9,1,2984,UPS,Delayed,2901.79,107555.0,UPS1160386288,,25.32
163,490,118,10,14,3,1106,Maersk,In Transit,3989.06,24556.84,MAE8930068035,,32.56
164,256,279,12,14,5,2438,Maersk,Delayed,5819.6,132204.15,MAE7554501236,Port Congestion,17.79
165,421,441,6,2,7,3443,DHL,Delivered,8166.79,2173.48,DHL6509874511,,37.07
166,655,362,6,15,2,2844,FedEx,In Transit,5913.38,1962.43,FED7866017916,,34.72
167,377,406,2,11,11,2738,CMA CGM,Delayed,2549.21,507.6,CMA7843674600,Strikes,14.09
168,214,220,11,13,8,1449,FedEx,Delayed,6617.61,41258.88,FED9376278675,,37.69
169,516,697,4,10,14,1427,UPS,In Transit,7292.9,323.4,UPS7821171837,,26.2
170,275,300,1,5,15,4634,Maersk,Delivered,5589.99,917.07,MAE8763248479,,40.29
171,205,219,9,5,3,2103,DHL,Delayed,5498.26,34417.74,DHL6044728258,Documentation Issue,20.22
172,659,677,3,15,13,3280,CMA CGM,Delivered,7757.81,525.47,CMA3733666664,,36.6
173,263,279,6,5,3,2544,DHL,Delivered,8989.65,1605.99,DHL8999147895,,39.79
174,408,435,15,5,9,2092,Maersk,Delayed,6286.68,129.24,MAE6818690723,Vehicle Breakdown,12.48
175,428,441,6,15,14,1970,FedEx,Delayed,9299.75,1246.2,FED6849934214,,40.65
176,54,75,21,16,6,4163,DHL,Delivered,3939.12,745.37,DHL4641714874,,37.62
177,565,221,9,16,16,313,DB Schenker,In Transit,2721.26,5116.58,DB5938827611,,33.17
178,634,646,16,8,9,1015,UPS,Delayed,3896.44,23950.0,UPS2643862882,,38.98
179,497,520,10,2,4,1663,DHL,Delayed,3654.19,36932.28,DHL7930041982,,29.24
180,547,569,7,15,16,120,FedEx,Delayed,4115.04,53.58,FED6444608043,,37.38
181,271,291,8,9,13,4591,Maersk,Delivered,8904.12,2422.56,MAE1261366700,,38.69
182,522,553,1,11,1,2196,Maersk,Delivered,9627.18,473.97,MAE2226043504,,18.63
183,368,410,7,9,2,890,DHL,In Transit,8765.91,430.99,DHL8746613934,,35.68
184,728,731,2,8,14,1656,FedEx,Delayed,13550.01,281.34,FED1306653180,,42.14
185,292,326,5,11,14,4170,Maersk,Delivered,9510.51,942.92,MAE7277512836,,20.49
186,634,646,3,9,14,1044,CMA CGM,Delayed,8081.13,182.75,CMA2571134399,Vehicle Breakdown,19.92
187,314,324,10,12,1,4859,DB Schenker,Delivered,5237.7,98723.24,DB1120696043,,41.75
188,546,571,19,2,13,4181,DHL,Delivered,11632.64,70920.0,DHL2235407343,,40.07
189,531,545,17,12,5,3950,Maersk,Delivered,5204.86,142065.0,MAE1921071816,,23.99
190,312,334,22,1,12,1997,DB Schenker,Delivered,3456.66,150560.0,DB1957307421,,38.05
191,480,502,9,7,13,2174,UPS,Delayed,5559.63,35577.71,UPS9894061935,Strikes,10.18
192,40,64,17,16,1,2709,DB Schenker,Delivered,8087.72,89355.0,DB1002444748,,42.27
193,369,399,1,12,9,1649,Maersk,Delivered,3925.94,326.34,MAE9808886334,,42.29
194,399,422,17,15,7,4020,Maersk,In Transit,5111.08,144900.0,MAE1556901708,,32.55
195,669,687,17,12,8,1412,FedEx,Delayed,3393.4,46655.0,FED6984573813,,38.68
196,105,131,2,2,16,1414,Maersk,Delivered,10254.96,239.76,MAE2806702615,,38.74
197,725,731,5,4,3,4067,Maersk,Delivered,10918.57,843.04,MAE4474748509,,41.17
198,465,489,16,13,1,2615,DB Schenker,Delivered,4453.45,61575.0,DB1486079283,,42.27
199,218,234,13,11,5,4502,DB Schenker,Delayed,4910.29,323963.68,DB2030659647,Documentation Issue,23.82
200,294,310,9,4,5,4871,DHL,Delivered,3608.36,72935.1,DHL3142247918,,41.51
201,114,128,19,16,15,3130,CMA CGM,Delivered,7561.96,53082.0,CMA1878274702,,40.63
202,560,570,20,10,15,2046,CMA CGM,Delivered,8608.65,385.6,CMA4288014793,,37.03
203,487,496,17,5,4,797,CMA CGM,Delivered,7268.6,26285.0,CMA9173145790,,37.53
204,55,68,11,13,7,1635,Maersk,Delivered,4051.27,50698.96,MAE5215276937,,28.75
205,456,483,21,16,3,119,UPS,In Transit,9471.39,23.37,UPS6592318231,,32.27
206,628,641,11,16,12,176,DHL,Delivered,7073.56,5006.56,DHL3429775602,,36.55
207,149,183,16,1,14,2029,DHL,Delivered,6680.61,47800.0,DHL6021658634,,37.14
208,379,411,7,7,1,1075,CMA CGM,Delivered,5979.66,476.11,CMA6775769908,,40.76
209,221,250,10,14,9,1549,DB Schenker,Delivered,3787.93,31477.6,DB1293493402,,36.53
210,572,577,3,2,9,4626,DB Schenker,Delivered,5513.52,741.03,DB1704834237,,37.53
211,114,143,11,3,12,5051,UPS,Delayed,9762.89,143833.04,UPS4635847054,,40.02
212,201,212,17,4,16,2358,Maersk,Delayed,4125.68,84980.0,MAE5691686202,Weather,20.47
213,425,432,16,7,6,4703,CMA CGM,Delivered,7564.75,110800.0,CMA9487047310,,40.69
214,208,229,9,9,3,4375,CMA CGM,Delivered,3214.88,65514.47,CMA2462278148,,37.93
215,82,99,17,11,9,1047,DB Schenker,Delivered,9047.73,34545.0,DB5408920745,,41.08
216,146,173,19,14,8,604,DB Schenker,Delayed,6768.13,11196.0,DB6863173495,Carrier Delay,12.66
217,129,139,12,16,14,4314,DB Schenker,Delivered,5688.22,214022.25,DB6051398311,,38.59
218,323,348,19,8,14,779,CMA CGM,Delivered,8476.5,13212.0,CMA6136906346,,41.3
219,723,730,14,11,1,1491,DB Schenker,Delivered,4749.68,84.3,DB9473822457,,40.67
220,508,535,19,3,7,2202,UPS,Delayed,3529.11,40824.0,UPS3341903822,,28.11
221,386,145,13,15,8,1513,UPS,In Transit,3887.0,108873.04,UPS9670936029,,32.82
222,528,262,20,9,7,3016,DB Schenker,In Transit,5940.34,621.2,DB2415143945,,31.86
223,364,373,8,5,5,1504,FedEx,Delayed,17462.13,867.44,FED7065214656,Vehicle Breakdown,10.2
224,241,262,13,4,1,3896,UPS,Delayed,9059.89,280358.56,UPS3320113144,Port Congestion,14.9
225,692,541,12,13,15,4697,CMA CGM,In Transit,9765.15,254668.05,CMA2166576753,,28.6
226,142,169,15,9,13,2662,UPS,Delayed,9474.7,164.46,UPS3809101369,,20.31
227,622,49,21,9,4,4500,Maersk,In Transit,9772.02,880.46,MAE4516806391,,36.2
228,23,34,19,13,12,4314,UPS,Delayed,4489.3,73314.0,UPS1519987591,,39.02
229,606,245,11,5,9,3269,FedEx,In Transit,11041.41,101518.56,FED4081855221,,35.33
230,415,446,11,8,1,2809,FedEx,Delayed,7498.33,79984.32,FED5618132581,,40.56
231,141,173,2,12,12,4172,CMA CGM,Delivered,8335.33,707.76,CMA2423401286,,41.61
232,663,689,5,14,4,5201,Maersk,Delivered,4618.97,1078.22,MAE7746585776,,39.73
233,250,281,13,4,7,3198,DHL,Delivered,3440.61,210618.32,DHL6621870219,,40.2
234,651,119,4,5,15,4287,DHL,In Transit,6137.29,971.3,DHL2615225761,,31.04
235,420,428,7,3,13,4080,FedEx,Delayed,5511.57,1810.44,FED9220302747,,37.75
236,589,486,13,2,12,4083,UPS,In Transit,7537.01,293845.4,UPS6163014559,,33.51
237,449,478,15,11,2,4326,DHL,Delivered,5919.22,244.62,DHL3239669500,,38.3
238,286,307,21,4,5,4045,DB Schenker,Delivered,5419.74,724.09,DB6171401704,,36.65
239,620,632,6,10,3,3049,DB Schenker,Delayed,10960.13,2103.8,DB1362180946,,25.48
240,478,485,17,3,14,306,Maersk,Delivered,2933.49,10990.0,MAE1797296404,,19.45
241,197,203,17,14,10,922,Maersk,Delivered,3515.38,30415.0,MAE3936287702,,42.55
242,709,723,14,10,15,3144,Maersk,Delivered,16766.21,177.78,MAE9284357688,,42.63
243,320,346,15,2,9,1787,Maersk,Delivered,6720.33,110.22,MAE1601166414,,28.96
244,499,511,18,9,7,664,FedEx,Delayed,5796.7,28215.0,FED3522624806,,38.87
245,286,293,4,1,16,1896,DB Schenker,Delayed,6850.71,429.66,DB9762007745,,17.37
246,726,731,17,5,7,767,UPS,Delayed,7948.29,25340.0,UPS7166189607,,42.47
247,183,215,2,14,12,4454,Maersk,Delivered,8451.78,823.86,MAE4749611890,,22.69
248,570,596,1,7,2,243,DB Schenker,Delayed,6551.24,52.5,DB1675203477,,29.62
249,504,396,17,7,11,3500,Maersk,In Transit,9304.15,126140.0,MAE3774542777,,36.1
250,504,532,8,16,2,2762,UPS,Delayed,5179.91,1460.48,UPS9449748833,,41.99
251,242,265,19,13,16,4697,DB Schenker,Delayed,10754.58,87066.0,DB8129150804,Security Check,13.64
252,717,731,16,2,8,2499,DB Schenker,Delayed,6660.97,64325.0,DB1919345643,,22.13
253,587,607,3,16,10,1356,Maersk,Delivered,2892.34,217.09,MAE7276074984,,41.97
254,617,637,4,5,15,3835,DHL,Delivered,8614.33,795.08,DHL8950208636,,38.53
255,348,375,22,7,2,3504,UPS,Delayed,13033.25,288640.0,UPS4985162014,Weather,11.5
256,679,701,17,12,3,3762,UPS,Delayed,7813.13,124320.0,UPS5978635919,,40.08
257,498,506,15,9,10,3046,FedEx,Delayed,8129.02,188.22,FED1260633629,Strikes,24.66
258,605,613,18,10,13,4333,Maersk,Delivered,10457.18,200430.0,MAE4612676670,,26.14
259,286,302,13,14,3,3430,DB Schenker,Delivered,7193.5,225852.16,DB6517524489,,40.16
260,331,343,21,5,13,1093,DHL,Delayed,7859.26,213.94,DHL7671253109,,18.43
261,700,197,20,2,2,2164,DHL,In Transit,9685.77,445.6,DHL5007114763,,32.36
262,531,544,16,2,12,3753,Maersk,Delivered,5060.06,88425.0,MAE3217183826,,42.87
263,694,728,19,7,11,1461,DB Schenker,Delivered,9100.02,24786.0,DB1997978038,,37.39
264,81,86,5,13,5,5009,UPS,Delayed,10267.07,1040.38,UPS6497459634,,39.83
265,212,222,18,15,2,1580,UPS,Delayed,3613.12,73215.0,UPS4941349231,Strikes,23.65
266,699,727,19,13,12,2642,UPS,Delayed,3867.51,44892.0,UPS8856346096,,41.26
267,358,382,17,11,16,3912,CMA CGM,Delivered,9224.59,140700.0,CMA1912924156,,26.15
268,620,642,17,7,6,1242,FedEx,Delayed,5603.66,44765.0,FED5011158222,Security Check,20.65
269,612,633,5,15,9,391,DB Schenker,Delivered,3946.43,80.96,DB2736546053,,38.8
270,123,140,18,1,5,4124,DB Schenker,Delivered,7835.66,174870.0,DB6181032694,,38.38
271,142,155,11,14,2,788,DB Schenker,Delayed,5636.64,24459.76,DB4781891121,,27.6
272,305,324,11,4,2,340,DB Schenker,Delivered,6892.79,9651.2,DB6339170814,,41.71
273,413,422,16,16,11,3823,Maersk,Delivered,6872.34,90075.0,MAE9090633083,,42.08
274,695,710,3,5,16,655,FedEx,Delayed,4252.38,105.06,FED8902936129,,42.37
275,547,557,21,16,11,1074,DHL,Delivered,9291.28,192.28,DHL8249719372,,39.78
276,590,444,11,9,4,1177,DHL,In Transit,6614.99,36553.92,DHL6381327409,,31.14
277,588,731,13,12,13,4745,UPS,In Transit,5540.81,341433.68,UPS3954307963,,34.33
278,222,229,21,3,15,5144,FedEx,Delayed,3738.7,922.83,FED8465576118,,40.68
279,393,535,18,11,9,2822,CMA CGM,In Transit,4821.92,130770.0,CMA9011776291,,33.29
280,484,497,22,11,9,3270,DB Schenker,Delayed,3001.55,269360.0,DB7409480826,,27.42
281,53,76,22,9,3,3239,Maersk,Delivered,3004.19,266320.0,MAE4816222343,,28.63
282,724,731,17,9,12,2658,DHL,Delivered,12806.87,87675.0,DHL8339980021,,38.67
283,284,299,20,14,13,2468,DHL,Delayed,6548.01,508.4,DHL9208818266,Strikes,15.03
284,702,731,4,11,5,2629,DHL,Delivered,14910.22,544.94,DHL6304133232,,37.1
285,248,256,2,10,3,714,FedEx,Delayed,9851.54,121.32,FED2098898865,,40.21
286,299,304,3,10,2,4934,DHL,Delivered,3531.9,790.33,DHL7379851039,,36.72
