procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,delivery_date_key,quality_score,po_number
34,399,1,8,740,233.37,172694.0,30.0,432,97.0,PO-2024-653004
35,665,22,11,3255,209.0,680309.48,28.0,691,97.1,PO-2024-948031
36,198,15,3,415,40.46,16790.16,31.0,228,97.1,PO-2023-442749
37,608,5,7,155,213.33,33066.11,21.0,631,98.4,PO-2024-518003
38,644,7,7,1565,156.75,245322.43,20.0,654,97.7,PO-2024-672075
39,483,9,4,86,447.67,38499.73,34.0,504,97.4,PO-2024-266045
40,608,9,3,5099,653.72,3333301.96,27.0,624,95.0,PO-2024-946989
41,410,14,5,5626,78.05,439117.72,29.0,431,94.1,PO-2024-170636
42,110,8,10,5050,52.09,263052.45,20.0,123,96.7,PO-2023-331860
43,520,8,10,5712,39.74,227001.8,20.0,557,98.2,PO-2024-490130
44,61,14,8,2912,93.09,271080.96,28.0,100,93.1,PO-2023-695955
45,304,22,2,2444,315.48,771059.96,28.0,332,98.0,PO-2023-394672
46,109,22,6,5615,284.14,1595478.88,21.0,152,95.1,PO-2023-544539
47,570,18,9,438,215.82,94532.8,31.0,596,96.1,PO-2024-905622
48,398,4,9,2072,348.51,722112.87,28.0,423,95.9,PO-2024-389654
49,708,1,7,2462,411.65,1013474.31,20.0,728,97.2,PO-2024-804048
50,52,11,4,5941,170.65,1013845.98,30.0,91,95.2,PO-2023-742162
51,731,18,10,1748,288.16,503705.19,21.0,731,96.9,PO-2024-571469
52,96,16,7,625,591.98,369985.94,20.0,138,96.8,PO-2023-542621
53,625,12,8,5935,868.39,5153883.67,31.0,652,96.1,PO-2024-289517
54,95,15,11,2396,54.45,130487.56,29.0,127,96.1,PO-2023-103403
55,646,4,2,4525,334.41,1513216.23,31.0,682,94.2,PO-2024-618111
56,419,16,13,5187,453.78,2353794.91,20.0,448,97.2,PO-2024-672881
57,58,22,6,3355,339.27,1138279.53,19.0,98,94.2,PO-2023-732487
58,480,13,2,2624,176.36,462760.01,31.0,501,95.8,PO-2024-866077
59,176,11,6,382,106.91,40840.76,21.0,199,93.2,PO-2023-794658
60,401,20,10,3053,81.68,249360.77,19.0,412,93.8,PO-2024-857172
61,20,20,13,4258,42.13,179388.55,20.0,34,97.9,PO-2023-178355
62,438,10,4,593,358.7,212709.61,31.0,452,94.6,PO-2024-491164
63,429,11,1,1882,101.37,190783.11,32.0,444,93.5,PO-2024-161573
64,692,9,9,4588,733.23,3364046.09,30.0,719,94.4,PO-2024-703689
65,418,20,6,3675,81.68,300164.05,19.0,454,96.9,PO-2024-877149
66,512,6,10,4676,203.05,949476.48,20.0,543,94.1,PO-2024-388833
67,375,7,12,3794,252.91,959545.24,20.0,412,97.2,PO-2024-746879
68,376,2,12,576,238.86,137581.43,18.0,404,93.1,PO-2024-851022
69,267,17,10,581,123.69,71862.81,23.0,306,93.6,PO-2023-915302
70,326,6,11,5561,226.14,1257587.11,28.0,364,98.8,PO-2023-165623
71,86,4,5,5582,415.66,2320232.99,30.0,110,98.9,PO-2023-959443
72,432,11,4,5079,101.37,514871.12,31.0,474,99.5,PO-2024-129450
73,249,15,10,1026,8.13,8339.25,20.0,285,95.4,PO-2023-838341
74,358,12,7,1746,414.75,724148.73,22.0,388,98.1,PO-2023-646535
75,600,21,7,4595,74.67,343092.56,20.0,616,93.8,PO-2024-735356
76,462,8,4,183,32.14,5881.21,28.0,478,98.4,PO-2024-302430
77,31,2,2,3144,79.58,250204.62,28.0,45,98.9,PO-2023-401090
78,696,3,13,2064,167.5,345711.93,24.0,718,98.0,PO-2024-467713
79,131,17,7,775,794.9,616052.7,20.0,162,98.8,PO-2023-482280
80,619,14,10,5008,121.86,610263.93,20.0,643,97.2,PO-2024-354162
81,286,2,5,1117,223.47,249618.47,30.0,324,95.1,PO-2023-921070
82,319,15,9,5227,39.4,205960.68,29.0,331,94.5,PO-2023-223558
83,579,6,12,5762,281.6,1622571.98,19.0,600,93.4,PO-2024-180177
84,17,16,8,3872,234.06,906307.23,30.0,50,93.9,PO-2023-676834
85,245,20,2,3455,15.9,54941.38,28.0,256,95.5,PO-2023-112759
86,163,2,9,1708,150.57,257157.31,27.0,196,95.4,PO-2023-473460
87,552,4,8,5431,460.43,2500620.08,31.0,567,94.9,PO-2024-294886
88,467,17,10,2749,511.32,1405627.16,21.0,488,93.8,PO-2024-593713
89,4,10,9,1468,199.96,293542.07,32.0,30,93.2,PO-2023-705617
90,472,22,11,266,175.31,46632.38,26.0,489,95.9,PO-2024-234140
91,275,1,5,1317,338.03,445174.02,30.0,309,93.5,PO-2023-869627
92,199,5,2,362,175.91,63677.97,30.0,224,95.4,PO-2023-766359
93,630,7,11,3874,255.05,988069.77,27.0,641,95.0,PO-2024-357270
94,605,6,7,937,281.6,263858.03,22.0,646,97.2,PO-2024-174943
95,393,17,6,3547,983.53,3488601.37,19.0,422,94.5,PO-2024-582583
96,179,1,10,695,227.74,158276.46,22.0,204,95.5,PO-2023-724461
97,721,22,8,102,384.2,39189.33,32.0,731,95.4,PO-2024-620435
98,7,22,13,4865,112.35,546586.66,21.0,45,94.6,PO-2023-207723
99,583,8,5,2332,46.93,109439.61,30.0,615,94.8,PO-2024-923970
100,534,7,9,4320,162.59,702396.92,28.0,544,95.6,PO-2024-392237
101,251,6,3,4824,46.65,225029.93,29.0,282,98.7,PO-2023-331066
102,39,1,9,1657,363.52,602332.09,28.0,82,93.2,PO-2023-880505
103,347,18,2,2146,121.81,261413.11,29.0,386,97.6,PO-2023-902954
104,22,4,4,487,179.76,87545.14,31.0,34,97.7,PO-2023-915267
105,60,9,9,5446,663.38,3612815.68,28.0,88,96.5,PO-2023-809396
106,722,14,13,1598,137.68,220007.33,17.0,731,93.1,PO-2024-595932
107,31,2,6,1015,79.58,80775.35,20.0,49,96.6,PO-2023-276516
108,519,2,8,2301,153.56,353333.38,29.0,553,97.7,PO-2024-762928
109,255,4,5,400,67.85,27140.98,29.0,296,93.2,PO-2023-961307
110,91,1,5,122,304.44,37141.4,32.0,112,98.3,PO-2023-886539
111,142,18,5,3391,204.4,693141.53,30.0,168,94.8,PO-2023-712291
112,679,17,6,2577,837.48,2158187.08,17.0,716,99.5,PO-2024-278832
113,25,6,12,1029,123.58,127170.36,21.0,56,97.5,PO-2023-526963
114,383,11,9,402,169.61,68184.06,28.0,423,98.3,PO-2024-984126
115,552,2,10,4851,203.84,988801.01,22.0,580,97.9,PO-2024-252030
116,614,12,2,2247,868.39,1951268.17,28.0,656,95.3,PO-2024-311083
117,704,18,4,4123,288.16,1188087.25,30.0,724,97.6,PO-2024-486749
118,572,8,13,2261,52.75,119275.5,19.0,601,96.8,PO-2024-594668
119,605,3,10,5038,149.34,752339.64,18.0,646,97.7,PO-2024-508528
120,52,7,11,5742,254.46,1461123.71,30.0,75,97.9,PO-2023-597896
121,166,17,5,4545,619.96,2817719.34,30.0,186,98.8,PO-2023-482155
122,255,21,11,1396,12.37,17266.86,30.0,272,97.6,PO-2023-892546
123,449,10,11,1325,358.7,475278.64,31.0,473,95.6,PO-2024-170093
124,510,17,10,4964,538.4,2672615.92,19.0,527,96.9,PO-2024-132801
125,506,21,3,5657,53.84,304572.69,29.0,527,94.7,PO-2024-825856
126,506,15,13,3474,35.38,122909.7,17.0,534,98.3,PO-2024-639173
127,675,8,13,3392,52.64,178546.25,20.0,708,97.7,PO-2024-343988
128,472,4,9,2947,280.5,826633.48,29.0,487,93.3,PO-2024-210865
129,96,6,5,5265,312.56,1645636.94,31.0,140,98.0,PO-2023-373423
130,366,2,6,117,238.86,27946.23,17.0,379,97.1,PO-2024-429640
131,109,2,11,4104,201.28,826009.89,29.0,139,93.3,PO-2023-731698
132,568,17,10,4585,839.32,3848307.76,23.0,591,97.3,PO-2024-763183
133,687,13,7,291,288.85,84055.14,19.0,704,94.0,PO-2024-141238
134,56,6,9,4299,373.21,1604420.52,28.0,100,97.8,PO-2023-490338
135,229,9,11,5931,441.95,2621220.57,29.0,268,94.2,PO-2023-979663
136,441,10,10,2392,358.7,858012.45,20.0,465,93.5,PO-2024-600626
137,433,15,12,1596,38.63,61650.73,21.0,477,93.1,PO-2024-518997
138,158,18,9,5122,159.42,816547.37,28.0,188,94.0,PO-2023-602270
139,375,10,13,3367,600.16,2020747.13,17.0,393,95.0,PO-2024-629146
140,727,14,11,4631,137.68,637580.7,29.0,731,95.3,PO-2024-234256
141,143,2,9,5084,193.05,981451.57,30.0,185,94.9,PO-2023-900580
142,690,17,13,879,837.48,736145.31,19.0,711,97.0,PO-2024-899485
143,172,3,9,1569,124.0,194543.53,29.0,194,93.9,PO-2023-772267
144,383,3,12,4807,196.71,945571.29,21.0,405,96.8,PO-2024-457815
145,693,8,1,5975,52.64,314508.81,30.0,723,98.9,PO-2024-170527
146,410,6,13,4624,239.6,1107900.2,18.0,447,97.8,PO-2024-356076
147,583,22,2,542,255.99,138750.85,29.0,622,93.4,PO-2024-191837
148,421,4,1,4917,348.51,1713624.04,32.0,455,95.3,PO-2024-211818
149,152,2,7,4315,150.57,649668.51,22.0,194,98.5,PO-2023-823657
150,266,15,2,1300,8.13,10566.3,29.0,284,94.5,PO-2023-266917
151,563,19,4,3928,167.87,659374.18,31.0,593,97.8,PO-2024-882552
152,470,3,6,660,102.27,67494.65,19.0,497,99.1,PO-2024-982172
153,567,20,5,1714,107.91,184954.43,30.0,585,95.2,PO-2024-591563
154,146,11,12,3545,137.08,485958.3,21.0,171,93.6,PO-2023-346646
155,481,2,2,162,124.18,20116.74,27.0,507,97.4,PO-2024-373781
156,703,6,13,3276,422.63,1384541.1,21.0,723,93.9,PO-2024-827089
157,160,3,3,4683,124.0,580654.77,31.0,178,95.1,PO-2023-465776
158,62,7,8,1987,194.83,387150.79,29.0,104,96.4,PO-2023-768694
159,179,17,11,4782,619.96,2964649.92,29.0,214,95.7,PO-2023-128499
160,159,3,13,3885,124.0,481709.12,20.0,182,97.5,PO-2023-682574
161,344,3,6,2218,94.75,210141.2,18.0,358,93.2,PO-2023-576105
162,107,2,13,566,201.28,113918.51,20.0,119,96.5,PO-2023-872598
163,511,9,13,4640,471.38,2187190.54,20.0,540,95.8,PO-2024-261858
164,626,6,13,3814,374.07,1426709.82,18.0,660,99.1,PO-2024-573323
165,259,12,6,1899,108.29,205644.39,20.0,299,94.4,PO-2023-762554
166,358,13,11,1168,163.39,190835.48,29.0,394,95.7,PO-2023-139596
167,129,22,2,3005,272.53,818976.07,30.0,145,95.5,PO-2023-232911
168,493,9,1,5457,471.38,2572305.77,29.0,531,95.1,PO-2024-395969
169,662,12,2,2371,533.71,1265436.52,28.0,690,96.8,PO-2024-302955
170,435,3,10,5558,117.57,653434.8,21.0,451,96.9,PO-2024-668811
171,507,19,2,3048,107.68,328208.44,28.0,540,94.2,PO-2024-796998
172,681,22,5,3498,287.13,1004396.17,29.0,713,97.6,PO-2024-886709
173,324,16,9,1218,428.3,521677.4,30.0,337,95.3,PO-2023-832971
174,470,22,4,2059,175.31,360962.7,33.0,491,98.9,PO-2024-841298
175,151,3,12,261,158.99,41494.13,22.0,167,94.4,PO-2023-619226
176,350,1,10,5205,174.02,905749.45,21.0,380,97.9,PO-2023-291619
177,310,12,1,4086,524.99,2145074.95,31.0,328,97.6,PO-2023-855811
178,275,4,9,4528,504.79,2285705.37,29.0,308,95.4,PO-2023-878700
179,406,19,12,3314,127.06,421075.9,20.0,444,98.0,PO-2024-959556
180,535,16,7,3915,451.64,1768182.7,18.0,546,99.1,PO-2024-454643
181,648,17,8,5944,609.6,3623462.35,29.0,681,99.2,PO-2024-467342
182,120,13,8,5430,285.84,1552126.63,31.0,136,94.3,PO-2023-170995
183,500,21,5,1484,53.84,79898.51,31.0,518,93.0,PO-2024-785356
184,80,6,6,215,285.76,61439.5,19.0,95,98.1,PO-2023-554006
185,614,4,6,4701,544.11,2557865.68,18.0,657,94.7,PO-2024-921916
186,472,14,10,759,62.82,47680.47,22.0,491,95.0,PO-2024-959513
187,300,4,5,662,504.79,334173.36,32.0,325,98.0,PO-2023-676783
188,479,15,9,5497,33.6,184702.47,29.0,520,95.5,PO-2024-355864
189,684,21,3,1675,83.75,140277.97,28.0,718,95.7,PO-2024-335915
190,52,16,13,209,706.84,147729.29,21.0,93,98.6,PO-2023-829794
191,126,1,13,3227,292.0,942286.12,23.0,141,98.3,PO-2023-231096
192,382,8,12,1662,61.82,102740.43,19.0,408,95.9,PO-2024-559451
193,364,2,12,560,115.05,64425.06,19.0,374,94.6,PO-2023-592748
194,381,5,13,2683,281.01,753939.48,21.0,392,93.9,PO-2024-699875
195,35,6,4,5412,373.21,2019800.85,30.0,48,98.5,PO-2023-924010
196,521,18,4,415,162.59,67475.63,32.0,555,97.4,PO-2024-779997
197,14,19,8,4462,65.54,292432.19,32.0,42,94.0,PO-2023-326538
198,149,5,13,1802,227.12,409257.46,19.0,191,93.6,PO-2023-728793
199,643,4,1,2691,334.41,899903.84,33.0,687,99.0,PO-2024-614503
200,85,8,1,3033,47.62,144443.15,32.0,121,95.5,PO-2023-256226
201,698,21,5,3025,83.75,253337.83,31.0,730,95.0,PO-2024-997854
202,216,17,10,2233,504.79,1127198.78,19.0,233,98.9,PO-2023-192099
203,423,9,3,5599,556.21,3114240.94,29.0,436,93.2,PO-2024-147037
204,633,20,12,1098,127.52,140015.4,20.0,675,97.0,PO-2024-123083
205,58,19,8,708,197.91,140122.88,32.0,79,94.3,PO-2023-385229
206,490,6,10,2285,203.05,463976.42,20.0,530,93.4,PO-2024-606103
207,628,5,13,3011,283.39,853269.92,18.0,654,98.3,PO-2024-185548
208,260,17,13,1869,123.69,231173.13,19.0,271,93.2,PO-2023-506763
209,136,10,3,4262,485.05,2067322.83,29.0,172,99.3,PO-2023-283694
210,119,16,7,3236,591.98,1915639.23,22.0,160,93.8,PO-2023-367145
211,505,6,4,4413,203.05,896073.51,31.0,544,98.7,PO-2024-416714
212,545,13,7,1855,218.08,404539.93,19.0,563,93.5,PO-2024-987807
213,542,8,11,1025,39.74,40734.74,33.0,558,93.7,PO-2024-153740
214,426,5,9,1010,167.95,169629.25,27.0,459,98.6,PO-2024-786091
215,318,3,5,1759,119.93,210948.33,31.0,361,96.5,PO-2023-877512
216,659,11,12,3536,105.12,371726.75,16.0,685,99.4,PO-2024-696291
217,572,13,4,1415,289.49,409622.21,32.0,582,96.2,PO-2024-199714
218,686,10,4,1861,511.03,951042.09,34.0,720,97.0,PO-2024-735481
219,574,12,2,349,734.84,256460.06,29.0,589,94.8,PO-2024-216014
220,260,6,5,3305,46.65,154171.62,31.0,300,96.7,PO-2023-511530
221,507,14,12,2347,66.15,155246.28,20.0,547,96.1,PO-2024-866054
222,496,21,3,1268,53.84,68269.08,30.0,519,96.0,PO-2024-429553
223,46,7,9,631,254.46,160565.83,31.0,70,95.8,PO-2023-695812
224,315,1,9,880,220.27,193834.28,28.0,347,94.9,PO-2023-331154
225,415,1,2,3996,233.37,932547.64,31.0,449,97.0,PO-2024-727477
226,551,20,4,3360,107.91,362571.09,33.0,580,95.5,PO-2024-918061
227,490,20,8,4780,69.22,330869.03,30.0,533,99.3,PO-2024-717853
228,330,4,2,5117,328.93,1683189.92,32.0,347,93.2,PO-2023-609380
229,171,10,12,1070,378.31,404786.78,20.0,206,97.6,PO-2023-876940
230,137,5,7,1551,227.12,352252.11,20.0,159,94.7,PO-2023-653873
231,7,21,3,3182,32.77,104271.54,29.0,31,94.1,PO-2023-229035
232,673,10,1,2752,511.03,1406377.12,31.0,702,98.8,PO-2024-961334
233,456,22,2,911,201.54,183604.22,29.0,469,97.9,PO-2024-713633
234,641,21,4,365,60.96,22250.4,30.0,677,96.7,PO-2024-114794
235,251,2,2,3702,30.04,111201.75,30.0,263,96.8,PO-2023-231962
236,71,22,13,2561,259.78,665310.63,21.0,81,99.1,PO-2023-587983
237,189,3,6,3435,123.14,422972.1,22.0,228,95.3,PO-2023-399936
238,402,17,10,405,635.3,257295.93,20.0,421,96.7,PO-2024-901912
239,487,18,12,1484,138.44,205454.97,18.0,506,97.3,PO-2024-736639
240,522,8,8,3386,39.74,134563.74,32.0,556,97.6,PO-2024-777247
241,640,8,12,1826,38.31,69962.6,19.0,657,98.2,PO-2024-290782
242,183,6,11,5111,232.19,1186767.9,30.0,222,94.5,PO-2023-320330
243,356,8,11,1566,29.77,46626.37,29.0,366,93.6,PO-2023-534963
244,52,22,11,4767,339.27,1617340.85,31.0,82,94.8,PO-2023-106594
245,43,15,12,2534,65.02,164779.82,21.0,80,93.9,PO-2023-531696
246,447,11,10,5721,101.37,579952.29,24.0,466,94.1,PO-2024-902648
247,178,2,7,2178,150.57,327920.74,17.0,196,94.2,PO-2023-389511
248,125,14,3,2531,97.67,247179.05,28.0,137,97.0,PO-2023-645553
249,279,21,8,3089,92.02,284245.95,31.0,319,95.2,PO-2023-341003
250,660,10,12,2276,371.98,846634.39,20.0,692,98.1,PO-2024-690705
251,460,9,4,1095,447.67,490200.08,33.0,495,96.9,PO-2024-750521
252,565,18,8,1980,215.82,427340.07,29.0,579,94.8,PO-2024-453504
253,205,7,4,666,158.31,105440.44,31.0,236,95.7,PO-2023-700368
254,227,4,2,3279,276.91,908010.06,28.0,241,97.6,PO-2023-944321
255,589,16,2,2949,533.33,1572805.59,30.0,604,99.3,PO-2024-768185
256,308,21,7,4087,59.96,245067.02,19.0,323,93.7,PO-2023-985978
257,503,19,7,1551,107.68,167011.57,18.0,523,93.9,PO-2024-528482
258,681,3,3,3342,167.5,559771.92,28.0,695,96.5,PO-2024-686141
259,420,18,13,3489,163.36,569976.33,22.0,454,97.7,PO-2024-795459
260,36,19,2,2950,197.91,583845.38,28.0,59,95.4,PO-2023-754449
261,77,7,6,1975,194.83,384812.69,20.0,95,98.1,PO-2023-722672
262,16,17,4,3046,327.69,998149.3,33.0,41,98.0,PO-2023-875038
263,518,3,1,2979,126.46,376722.35,31.0,545,93.0,PO-2024-888239
264,198,10,8,1139,375.69,427914.89,29.0,223,93.6,PO-2023-692223
265,67,11,11,3822,130.67,499415.01,30.0,107,98.9,PO-2023-914266
266,555,7,2,1849,215.82,399066.56,26.0,595,93.7,PO-2024-975349
267,86,16,8,933,541.23,504964.02,31.0,117,99.4,PO-2023-344898
268,357,20,8,2564,60.9,156156.89,32.0,385,94.2,PO-2023-558628
269,51,11,8,5581,170.65,952411.1,32.0,94,97.9,PO-2023-473282
270,163,14,9,3683,76.17,280523.28,29.0,202,95.2,PO-2023-266243
271,451,4,9,2048,322.47,660421.39,30.0,463,93.4,PO-2024-769968
272,528,7,6,2273,162.59,369571.34,20.0,538,94.2,PO-2024-900575
273,452,18,9,4302,151.16,650282.54,29.0,482,98.0,PO-2024-969931
274,671,20,1,5237,107.67,563872.2,29.0,713,95.3,PO-2024-107547
275,222,1,8,724,185.43,134251.15,29.0,233,98.5,PO-2023-221497
276,141,11,2,5120,137.08,701863.6,30.0,158,98.6,PO-2023-649648
277,136,2,13,2405,193.05,464278.33,20.0,180,96.3,PO-2023-802973
278,647,4,1,5510,334.41,1842612.47,33.0,666,95.4,PO-2024-923044
279,661,14,8,2181,74.9,163344.29,31.0,703,98.3,PO-2024-942544
280,718,14,5,3900,137.68,536939.04,30.0,731,96.0,PO-2024-231043
281,285,3,5,4484,184.04,825224.24,30.0,312,93.3,PO-2023-257043
282,643,8,13,1831,38.31,70154.18,21.0,672,93.6,PO-2024-981956
283,349,3,13,1660,94.75,157274.3,21.0,374,94.1,PO-2023-840205
284,466,2,4,4385,124.18,544517.91,29.0,481,93.6,PO-2024-514446
285,631,19,3,4787,198.38,949606.01,27.0,661,94.0,PO-2024-714869
286,21,4,8,3610,179.76,648948.55,29.0,33,98.6,PO-2023-769100
287,49,22,9,4518,339.27,1532860.48,30.0,75,96.7,PO-2023-739658
288,244,19,12,2055,24.74,50835.82,20.0,258,96.3,PO-2023-763932
289,623,3,3,1512,198.38,299938.23,28.0,663,97.7,PO-2024-734732
290,669,2,5,4787,148.05,708688.77,33.0,699,94.3,PO-2024-798969
291,61,19,3,5737,151.55,869399.04,28.0,76,94.2,PO-2023-356867
292,690,5,3,3713,239.28,888434.2,28.0,719,99.4,PO-2024-300323
293,36,4,1,2846,542.85,1544963.34,33.0,74,95.0,PO-2023-997456
294,646,2,9,1266,148.05,187424.27,31.0,666,95.9,PO-2024-368256
295,211,6,7,2611,232.19,606270.97,19.0,245,97.0,PO-2023-587219
296,626,1,10,5407,364.35,1970035.56,19.0,666,97.7,PO-2024-349981
297,653,21,7,2148,60.96,130942.07,20.0,669,94.3,PO-2024-924416
298,475,17,4,4270,511.32,2183349.58,31.0,492,95.1,PO-2024-176908
299,13,6,9,3383,123.58,418092.66,29.0,30,99.0,PO-2023-800796
300,636,1,3,2229,364.35,812134.13,32.0,651,96.0,PO-2024-353486
301,571,1,10,4860,308.32,1498422.87,19.0,605,94.9,PO-2024-370402
302,360,11,13,3828,81.69,312721.83,21.0,401,95.2,PO-2023-435962
303,24,12,13,5735,286.9,1645367.4,19.0,62,96.4,PO-2023-124765
304,628,6,6,1520,374.07,568589.12,18.0,662,98.2,PO-2024-344469
305,534,14,5,3424,77.68,265985.52,32.0,554,97.1,PO-2024-422834
306,127,4,6,3202,436.06,1396287.8,19.0,139,93.9,PO-2023-357003
307,241,22,6,1222,173.07,211491.82,20.0,266,98.3,PO-2023-143286
308,615,14,12,2064,121.86,251514.52,20.0,625,95.9,PO-2024-926101
309,4,2,8,1826,79.58,145316.04,30.0,40,96.5,PO-2023-766704
310,389,11,8,3474,169.61,589232.34,31.0,410,98.5,PO-2024-245005
311,56,14,11,4721,121.58,573962.05,32.0,94,96.1,PO-2023-723887
312,671,18,8,2157,215.35,464518.26,30.0,700,97.2,PO-2024-385484
313,293,22,8,1762,315.48,555895.11,31.0,304,99.4,PO-2023-606015
314,502,13,8,5969,185.7,1108416.43,29.0,527,96.4,PO-2024-136947
315,585,5,1,4935,213.33,1052782.34,32.0,619,96.7,PO-2024-915150
316,492,9,2,2574,471.38,1213325.1,28.0,520,93.7,PO-2024-490438
317,70,18,4,5940,194.83,1157360.68,31.0,91,97.9,PO-2023-564890
318,694,19,5,5142,167.5,861264.88,29.0,710,98.6,PO-2024-770097
319,693,4,3,2582,459.42,1186228.53,30.0,707,97.0,PO-2024-648090
320,581,3,7,503,149.34,75114.5,21.0,622,94.6,PO-2024-846507
321,636,7,12,3277,255.05,835803.99,20.0,654,93.4,PO-2024-922372
322,455,4,9,1360,322.47,438561.08,29.0,493,93.4,PO-2024-610537
323,441,19,1,2532,117.57,297678.46,31.0,475,99.3,PO-2024-742401
324,603,5,5,974,213.33,207783.18,32.0,620,93.0,PO-2024-184039
325,43,14,5,5560,121.58,675964.61,31.0,78,97.9,PO-2023-381228
326,519,4,10,516,346.86,178981.45,23.0,533,96.8,PO-2024-761555
327,487,4,11,3761,295.35,1110824.8,31.0,524,98.6,PO-2024-139997
328,307,15,2,5593,39.4,220382.26,29.0,327,97.0,PO-2023-688464
329,54,3,7,548,197.91,108456.7,20.0,81,95.8,PO-2023-286792
330,597,21,7,2459,74.67,183604.92,20.0,614,97.3,PO-2024-663342
331,308,9,1,3623,524.99,1902008.46,30.0,331,98.7,PO-2023-708431
332,598,19,7,5534,149.34,826408.81,18.0,635,97.9,PO-2024-711106
333,70,21,1,5026,75.77,380826.18,30.0,83,95.1,PO-2023-949291
334,251,15,2,4401,8.13,35770.99,27.0,280,93.0,PO-2023-706703
335,317,9,9,385,524.99,202117.92,33.0,327,95.1,PO-2023-217756
336,512,16,10,1093,384.57,420338.75,24.0,530,93.8,PO-2024-249434
337,15,2,12,5103,79.58,406105.01,22.0,28,98.8,PO-2023-862160
338,55,22,6,5184,339.27,1758820.0,18.0,82,95.9,PO-2023-536712
339,379,1,13,5377,361.3,1942664.75,20.0,422,98.0,PO-2024-921978
340,352,17,6,1364,473.72,646151.04,21.0,385,97.2,PO-2023-735165
341,359,14,13,3109,58.2,180943.82,19.0,399,98.9,PO-2023-792782
342,82,16,1,5737,541.23,3105014.61,33.0,105,97.9,PO-2023-892564
343,51,14,8,247,121.58,30029.36,32.0,64,98.9,PO-2023-345171
344,132,22,4,1321,272.53,360022.43,31.0,176,98.1,PO-2023-190612
345,146,17,11,2707,794.9,2151812.47,30.0,189,93.1,PO-2023-277560
346,170,4,9,3389,340.09,1152584.74,28.0,187,93.4,PO-2023-562277
347,173,8,9,2221,38.97,86543.13,28.0,185,93.2,PO-2023-243547
348,705,9,7,1013,981.12,993871.72,19.0,718,93.7,PO-2024-714000
349,516,8,9,3846,33.84,130147.04,30.0,552,95.6,PO-2024-861467
350,48,5,3,896,282.73,253325.83,27.0,61,93.7,PO-2023-355175
351,358,1,7,1944,174.02,338285.67,23.0,393,98.8,PO-2023-340876
352,256,14,4,1716,15.2,26076.46,31.0,297,93.7,PO-2023-999540
353,58,9,7,1464,866.38,1268384.02,19.0,90,99.1,PO-2023-666836
354,390,4,8,2034,539.54,1097434.39,29.0,411,93.6,PO-2024-261387
355,14,1,4,3081,120.37,370872.79,31.0,42,93.7,PO-2023-273248
